master.number,nest.id,host.species,lat.direction,latitude,long.direction,longitude,height,tree.species
214,a95,GRCA,N,51.716207047939,W,101.726151448753,56,choke cherry
323,a28,YEWA,N,52.6456659969482,W,101.714957822775,292,cat tail
104,a110,YEWA,N,55.1169794921136,W,102.218490356235,75,N/A
131,e62,GRCA,N,53.2037452101946,W,101.963329218792,16,red-berried elder
217,e119,YEWA,N,54.9807811729613,W,102.36564876214,165,cat tail
160,j54,YEWA,N,53.5475490884942,W,101.858157579713,193,red-berried elder
154,e124,YEWA,N,54.9032754337552,W,102.170629570693,143,cat tail
9,a133,YEWA,N,51.4636667750764,W,101.981449812933,263,red-berried elder
85,a179,YEWA,N,53.8232762994266,W,99.8397170736977,55,raspberry
83,a26,YEWA,N,51.3653569673249,W,100.32029594731,230,box elder
143,a71,YEWA,N,52.5394342177251,W,99.8089496852821,104.5,red-berried elder
195,j39,GRCA,N,55.1573758314383,W,102.167568446886,NA,cat tail
80,j45,YEWA,N,54.5037315964538,W,99.9962179742348,257,choke cherry
151,j34,YEWA,N,52.422394033615,W,103.036414404268,15,red-berried elder
250,a21,YEWA,N,53.9182786465853,W,101.218447121332,46,N/A
348,e117,GRCA,N,53.4788217653358,W,101.752075539473,90,box elder
226,e8,YEWA,N,52.2735620762616,W,100.849509075997,42,red-berried elder
168,e21,YEWA,N,54.4148301000872,W,101.899098637825,289,box elder
174,a23,YEWA,N,51.4482610530469,W,102.821692973531,71,red-berried elder
363,j28,YEWA,N,51.6533147327676,W,101.824710457163,116,western snowberry
201,e123,YEWA,N,52.4953876172966,W,100.731369091628,24,red-berried elder
165,a132,AMRO,N,52.4331086906108,W,100.376121874891,152,box elder
211,a156,GRCA,N,53.104198649016,W,99.5729074271733,65,box elder
265,e74,YEWA,N,51.5387727292371,W,103.219174558883,62,Box elder
208,j18,RWBL,N,54.7376369876,W,99.9800516643918,137,NA
164,a120,AMRO,N,52.5805082773006,W,102.649354759078,125,cat tail
79,a64,RWBL,N,51.2635944617048,W,100.285432367848,141,phragmites
330,a178,GRCA,N,53.9289254735944,W,102.530287812396,145,choke cherry
7,a34,YEWA,N,54.1799653727627,W,100.332868751883,151,phragmites
212,e20,AMRO,N,53.09155325048,W,100.026979281465,41,raspberry
244,a87,YEWA,N,55.0324382916236,W,100.573699957723,109,box elder
316,j48,GRCA,N,55.1523096834004,W,99.606262660622,40,box elder
16,a10,RWBL,N,54.3386783060005,W,103.169250290444,120,cat tail
90,e64,YEWA,N,53.4652678585556,W,99.5201302738237,208,choke cherry
66,e77,AMRO,N,53.4767409150383,W,99.4557366312316,103,red-berried elder
224,a56,YEWA,N,54.8211616973814,W,103.153538081237,97,box elder
163,e15,YEWA,N,54.6794679890585,W,100.73866040484,NA,box elder
311,e101,RWBL,N,52.4125564889455,W,100.862935841632,138,box elder
73,a141,YEWA,N,51.8205286700615,W,99.9166880573869,86,cat tail
196,a140,RWBL,N,53.4776893405229,W,100.044898161073,154,cat tail
228,a45,YEWA,N,52.2944899458119,W,102.586568496462,35,raspberry
249,j36,YEWA,N,54.045988674539,W,101.830264912645,47,Box elder
59,a101,YEWA,N,52.1334158815295,W,102.665584716754,64,box elder
62,e103,YEWA,N,51.9394849807274,W,101.542327657149,43,box elder
34,a7,YEWA,N,54.5323645072553,W,100.18369500586,58,red-berried elder
