nest.id,date,time,adult,stage,num.host.egg,num.bhco.egg,new.parasitism,bhco.swab,host.swab,predated,num.host.hatch,num.bhco.hatch,notes
a1,522.0,NA,n/a,Laying/Incubation,3,0,no,no,no,no,0,0,NA
a1,523.0,1899-12-31T09:21:00Z,yes,Laying/Incubation,3,0,no,no,no,no,0,0,NA
a1,524.0,1899-12-31T11:18:00Z,yes,Incubating,3,0,no,no,no,no,0,0,NA
a1,525.0,1899-12-31T09:30:00Z,yes,Incubating,3,0,no,no,no,no,0,0,NA
a1,526.0,1899-12-31T13:48:00Z,yes,Incubating,3,0,no,no,no,no,0,0,NA
a1,527.0,1899-12-31T10:30:00Z,yes,Incubating,3,0,no,no,no,no,0,0,NA
a1,528.0,1899-12-31T08:25:00Z,yes,Incubating,3,0,no,no,no,no,0,0,NA
a1,529.0,1899-12-31T08:39:00Z,yes,Incubating,3,0,no,no,no,no,0,0,NA
a1,601.0,1899-12-31T08:58:00Z,yes,Hatched,2,0,no,no,no,no,1,0,"1 hatchling, 2 eggs"
a1,602.0,1899-12-31T10:35:00Z,yes,Hatched,1,0,no,no,no,no,2,0,"2 hatchlings, 1 egg"
a1,603.0,1899-12-31T08:42:00Z,yes,Hatched,1,0,no,no,no,no,2,0,NA
a1,604.0,1899-12-31T10:55:00Z,yes,Hatched,0,0,no,no,no,no,3,0,NA
a1,606.0,1899-12-31T10:40:00Z,no,laying,1,0,no,no,no,yes,0,0,no nest damage
a10,525.0,1899-12-31T11:20:00Z,yes,Laying/Incubation,4,0,no,no,no,no,0,0,NA
a10,526.0,1899-12-31T10:07:00Z,yes,Laying/Incubation,4,0,no,no,no,no,0,0,NA
a10,527.0,1899-12-31T09:01:00Z,yes,Laying/Incubation,4,0,no,no,no,no,0,0,NA
a10,528.0,1899-12-31T08:15:00Z,yes,Laying/Incubation,4,0,no,no,no,no,0,0,NA
a10,529.0,1899-12-31T08:35:00Z,yes,Incubating,4,0,no,no,no,no,0,0,NA
a10,530.0,1899-12-31T09:14:00Z,yes,Incubating,4,0,no,no,no,no,0,0,NA
a10,601.0,1899-12-31T09:14:00Z,yes,Incubating,4,0,no,no,no,no,0,0,NA
a10,602.0,1899-12-31T10:42:00Z,yes,Incubating,4,0,no,no,no,no,0,0,NA
a10,603.0,1899-12-31T09:43:00Z,yes,Incubating,4,0,no,no,no,no,0,0,NA
a10,604.0,1899-12-31T12:30:00Z,yes,Incubating,4,0,no,no,no,no,0,0,NA
a10,605.0,1899-12-31T11:17:00Z,yes,Hatched,2,0,no,no,no,no,2,0,NA
a10,606.0,1899-12-31T17:08:00Z,yes,Hatched,1,0,no,no,no,no,3,0,NA
a10,607.0,1899-12-31T15:05:00Z,yes,Do Not Monitor (note),0,0,no,no,no,no,4,0,all eggs have hatched
a100,609.0,1899-12-31T12:36:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a100,610.0,1899-12-31T10:07:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a100,611.0,1899-12-31T08:44:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a100,612.0,1899-12-31T13:17:00Z,yes,laying,2,0,no,no,no,no,0,0,NA
a100,613.0,1899-12-31T10:37:00Z,yes,laying,3,0,no,no,no,no,0,0,NA
a100,614.0,1899-12-31T13:10:00Z,yes,laying,4,0,no,no,no,no,0,0,NA
a100,615.0,1899-12-31T09:41:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a100,616.0,1899-12-31T12:15:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a100,617.0,1899-12-31T09:14:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a100,618.0,1899-12-31T10:59:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a100,619.0,1899-12-31T09:38:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a100,620.0,1899-12-31T10:45:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a100,621.0,1899-12-31T10:24:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a100,622.0,1899-12-31T10:22:00Z,yes,do not Monitor (note),0,0,no,no,no,yes,0,0,"all eggs gone, nest intact"
a101,609.0,1899-12-31T15:26:00Z,yes,laying,2,0,no,no,no,no,0,0,NA
a101,610.0,1899-12-31T13:00:00Z,yes,laying,3,0,no,no,no,no,0,0,NA
a101,611.0,1899-12-31T11:00:00Z,yes,laying,4,0,no,no,no,no,0,0,NA
a101,612.0,1899-12-31T15:38:00Z,no,laying,5,0,no,no,no,no,0,0,NA
a101,613.0,1899-12-31T12:51:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a101,615.0,1899-12-31T11:41:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a101,616.0,1899-12-31T10:50:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a101,617.0,1899-12-31T11:07:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a101,618.0,1899-12-31T10:36:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a101,619.0,1899-12-31T12:14:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a101,620.0,1899-12-31T12:27:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a101,621.0,1899-12-31T10:20:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a101,622.0,1899-12-31T11:03:00Z,no,do not monitor (note),0,0,no,no,no,yes,0,0,all eggs gone
a102,609.0,1899-12-31T15:53:00Z,yes,Building,0,0,no,no,no,no,0,0,NA
a102,610.0,1899-12-31T13:09:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a102,611.0,1899-12-31T11:30:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a102,612.0,1899-12-31T16:12:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a102,613.0,1899-12-31T13:05:00Z,no,ready to lay,0,0,no,no,no,no,0,0,NA
a102,615.0,1899-12-31T12:07:00Z,no,do Not Monitor (note),1,0,no,no,no,yes,0,0,cracked egg in nest
a103,609.0,1899-12-31T16:40:00Z,yes,ready to Lay,0,0,no,no,no,no,0,0,NA
a103,610.0,1899-12-31T13:55:00Z,yes,laying,1,0,no,no,yes,no,0,0,NA
a103,611.0,1899-12-31T11:48:00Z,no,laying,2,0,no,no,no,no,0,0,NA
a103,612.0,1899-12-31T15:59:00Z,yes,laying,3,0,no,no,no,no,0,0,NA
a103,613.0,1899-12-31T13:19:00Z,yes,laying,4,0,no,no,no,no,0,0,NA
a103,615.0,1899-12-31T12:23:00Z,no,do Not Monitor (note),0,0,no,no,no,yes,0,0,"all eggs gone, nest damaged"
a104,609.0,1899-12-31T17:55:00Z,yes,Building,0,0,no,no,no,no,0,0,NA
a104,610.0,1899-12-31T11:09:00Z,yes,ready to Lay,0,0,no,no,no,no,0,0,NA
a104,611.0,1899-12-31T09:09:00Z,yes,ready to Lay,0,0,no,no,no,no,0,0,NA
a104,612.0,1899-12-31T13:27:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a104,613.0,1899-12-31T10:55:00Z,yes,laying,1,0,no,no,yes,no,0,0,NA
a104,614.0,1899-12-31T13:20:00Z,yes,laying,2,0,no,no,no,no,0,0,NA
a104,615.0,1899-12-31T09:58:00Z,yes,laying,3,0,no,no,no,no,0,0,NA
a104,616.0,1899-12-31T12:30:00Z,no,laying,4,0,no,no,no,no,0,0,NA
a104,617.0,1899-12-31T09:32:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a104,618.0,1899-12-31T11:16:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a104,619.0,1899-12-31T09:52:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a104,620.0,1899-12-31T10:28:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a104,621.0,1899-12-31T10:11:00Z,yes,incubating,3,0,no,no,no,yes,0,0,"1 egg missing, nest intact"
a104,622.0,1899-12-31T10:14:00Z,no,incubating,3,0,no,no,no,no,0,0,NA
a104,623.0,1899-12-31T10:30:00Z,yes,incubating,3,0,no,no,no,no,0,0,NA
a104,624.0,1899-12-31T11:53:00Z,yes,incubating,3,0,no,no,yes,no,0,0,NA
a104,625.0,1899-12-31T09:52:00Z,no,incubating,3,0,no,no,no,no,0,0,NA
a104,626.0,1899-12-31T09:58:00Z,no,incubating,3,0,no,no,no,no,0,0,NA
a104,627.0,1899-12-31T08:41:00Z,yes,hatched,1,0,no,no,no,no,2,0,NA
a104,628.0,1899-12-31T07:44:00Z,no,Do not Monitor (note),0,0,no,no,no,no,3,0,all hatch
a105,610.0,1899-12-31T09:54:00Z,yes,ready to Lay,0,0,no,no,no,no,0,0,NA
a105,611.0,1899-12-31T08:31:00Z,yes,laying,1,0,no,no,yes,no,0,0,NA
a105,612.0,1899-12-31T13:11:00Z,yes,laying,2,0,no,no,no,no,0,0,NA
a105,613.0,1899-12-31T10:26:00Z,no,laying,3,0,no,no,no,no,0,0,NA
a105,614.0,1899-12-31T13:02:00Z,yes,laying,4,0,no,no,no,no,0,0,NA
a105,615.0,1899-12-31T09:29:00Z,yes,laying,5,0,no,no,no,no,0,0,NA
a105,616.0,1899-12-31T12:07:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a105,617.0,1899-12-31T09:00:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a105,618.0,1899-12-31T10:50:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a105,619.0,1899-12-31T09:31:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a105,620.0,1899-12-31T10:56:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a105,621.0,1899-12-31T10:33:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a105,622.0,1899-12-31T10:35:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a105,623.0,1899-12-31T10:45:00Z,yes,incubating,5,0,no,no,yes,no,0,0,NA
a105,624.0,1899-12-31T12:23:00Z,yes,hatched,4,0,no,no,no,no,1,0,NA
a105,625.0,1899-12-31T10:05:00Z,yes,hatched,2,0,no,no,no,yes,2,0,1 egg missing
a105,626.0,1899-12-31T10:16:00Z,no,Do not Monitor (note),0,0,no,no,no,yes,3,0,"1 egg missing, all hatch"
a106,610.0,1899-12-31T10:32:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a106,611.0,1899-12-31T09:27:00Z,yes,ready to Lay,0,0,no,no,no,no,0,0,NA
a106,612.0,1899-12-31T13:38:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a106,613.0,1899-12-31T11:06:00Z,no,laying,1,0,no,no,yes,no,0,0,NA
a106,614.0,1899-12-31T13:27:00Z,yes,laying,2,0,no,no,no,no,0,0,NA
a106,615.0,1899-12-31T10:12:00Z,yes,laying,3,0,no,no,no,no,0,0,NA
a106,616.0,1899-12-31T12:27:00Z,yes,laying,4,0,no,no,no,no,0,0,NA
a106,617.0,1899-12-31T09:28:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a106,618.0,1899-12-31T11:13:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a106,619.0,1899-12-31T09:56:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a106,620.0,1899-12-31T11:23:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a106,621.0,1899-12-31T10:04:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a106,622.0,1899-12-31T10:18:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a106,623.0,1899-12-31T10:34:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a106,624.0,1899-12-31T11:59:00Z,yes,incubating,4,0,no,no,yes,no,0,0,NA
a106,625.0,1899-12-31T09:50:00Z,yes,hatched,3,0,no,no,no,no,1,0,NA
a106,626.0,1899-12-31T10:01:00Z,yes,Do not Monitor (note),0,0,no,no,no,yes,3,0,"1 egg missing, all hatch"
a107,610.0,1899-12-31T13:55:00Z,yes,Do Not Monitor (note),0,0,no,no,no,no,0,0,3 hatchlings no eggs
a108,610.0,1899-12-31T16:00:00Z,yes,laying,1,0,no,no,yes,no,0,0,NA
a108,611.0,1899-12-31T09:21:00Z,no,laying,2,0,no,no,no,no,0,0,NA
a108,612.0,1899-12-31T13:33:00Z,no,laying,3,0,no,no,no,no,0,0,NA
a108,613.0,1899-12-31T11:24:00Z,yes,laying,4,0,no,no,no,no,0,0,NA
a108,614.0,1899-12-31T13:29:00Z,yes,laying,5,0,no,no,no,no,0,0,NA
a108,615.0,1899-12-31T10:15:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a108,616.0,1899-12-31T12:41:00Z,no,incubating,5,0,no,no,no,no,0,0,NA
a108,617.0,1899-12-31T09:42:00Z,yes,incubating,5,0,no,no,no,no,0,0,NA
a108,618.0,1899-12-31T11:28:00Z,no,incubating,4,0,no,no,no,yes,0,0,"1 egg missing, maybe predation or wind"
a108,619.0,1899-12-31T10:05:00Z,no,do not Monitor (note),4,0,no,no,no,yes,0,0,"all eggs gone, nest intact, maybe due to wind"
a109,610.0,1899-12-31T16:13:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a109,611.0,1899-12-31T09:15:00Z,no,laying,1,0,no,no,yes,no,0,0,NA
a109,612.0,1899-12-31T13:35:00Z,no,laying,2,0,no,no,no,no,0,0,NA
a109,613.0,1899-12-31T11:00:00Z,yes,laying,3,0,no,no,no,no,0,0,NA
a109,614.0,1899-12-31T13:38:00Z,yes,incubating,3,0,no,no,no,no,0,0,NA
a109,615.0,1899-12-31T10:04:00Z,no,laying,4,0,no,no,no,no,0,0,NA
a109,616.0,1899-12-31T12:35:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a109,617.0,1899-12-31T09:36:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a109,618.0,1899-12-31T11:23:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a109,619.0,1899-12-31T09:57:00Z,yes,incubating,4,0,no,no,no,no,0,0,NA
a109,620.0,1899-12-31T10:14:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a109,621.0,1899-12-31T09:59:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a109,622.0,1899-12-31T10:02:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a109,623.0,1899-12-31T10:15:00Z,no,incubating,4,0,no,no,yes,no,0,0,NA
a109,624.0,1899-12-31T10:15:00Z,no,hatched,2,0,no,no,no,no,2,0,NA
a109,625.0,1899-12-31T09:41:00Z,yes,hatched,1,0,no,no,no,no,3,0,NA
a109,626.0,1899-12-31T09:51:00Z,yes,Do not Monitor (note),0,0,no,no,no,no,4,0,all hatch
a11,525.0,1899-12-31T11:35:00Z,yes,Hatched,1,0,no,no,no,no,1,0,"1 hatchling, 1 egg"
a11,526.0,1899-12-31T10:08:00Z,yes,Hatched,0,0,no,no,no,no,2,0,2 hatchlings
a11,527.0,1899-12-31T09:02:00Z,yes,Hatched,0,0,no,no,no,no,2,0,2 hatchlings
a11,528.0,1899-12-31T08:17:00Z,yes,Hatched,0,0,no,no,no,no,2,0,2 hatchlings
a11,529.0,1899-12-31T08:36:00Z,yes,Hatched,0,0,no,no,no,no,2,0,2 hatchlings
a11,530.0,1899-12-31T09:15:00Z,yes,Hatched,0,0,no,no,no,no,2,0,2 hatchlings
a11,601.0,1899-12-31T09:16:00Z,yes,Hatched,0,0,no,no,no,no,2,0,NA
a11,602.0,1899-12-31T10:46:00Z,no,Do Not Monitor (note),0,0,no,no,no,yes,0,0,nest torn in two
a110,610.0,1899-12-31T16:38:00Z,no,laying,2,0,no,no,no,no,0,0,NA
a110,611.0,1899-12-31T09:38:00Z,no,laying,3,0,no,no,no,no,0,0,NA
a110,612.0,1899-12-31T14:02:00Z,yes,laying,4,0,no,no,no,no,0,0,NA
a110,613.0,1899-12-31T11:37:00Z,no,incubating,4,0,no,no,no,no,0,0,NA
a110,615.0,1899-12-31T10:33:00Z,no,do Not Monitor (note),0,0,no,no,no,yes,0,0,"eggs gone, nest disheveled"
a111,610.0,1899-12-31T16:45:00Z,yes,laying,2,0,no,no,yes,no,0,0,NA
a111,611.0,1899-12-31T09:41:00Z,yes,laying/incubation,2,0,no,no,no,no,0,0,NA
a111,612.0,1899-12-31T14:06:00Z,no,Do Not Monitor (note),0,0,no,no,no,yes,0,0,eggs gone nest intact
a112,610.0,1899-12-31T16:56:00Z,yes,ready to Lay,0,0,no,no,no,no,0,0,NA
a112,611.0,1899-12-31T09:46:00Z,yes,laying,0,0,no,no,no,no,0,0,need ladder to swab
a112,612.0,1899-12-31T14:13:00Z,yes,laying,1,0,no,no,yes,no,0,0,NA
a112,613.0,1899-12-31T11:45:00Z,no,ready to lay,0,0,no,no,no,yes,0,0,"egg gone, nest intact"
a112,615.0,1899-12-31T10:43:00Z,no,do Not Monitor (note),0,0,no,no,no,yes,0,0,"eggs have not been laid, nest likely abanadoned"
a113,610.0,1899-12-31T17:08:00Z,yes,Building,0,0,no,no,no,no,0,0,NA
a113,611.0,1899-12-31T09:46:00Z,yes,Building,0,0,no,no,no,no,0,0,NA
a113,612.0,1899-12-31T14:11:00Z,yes,building,0,0,no,no,no,no,0,0,NA
a113,613.0,1899-12-31T11:39:00Z,yes,laying,1,0,no,no,yes,no,0,0,NA
a113,615.0,1899-12-31T10:38:00Z,no,do Not Monitor (note),0,0,no,no,no,yes,0,0,"eggs gone, maybe due to predation or wind"
a114,610.0,1899-12-31T17:40:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a114,611.0,1899-12-31T09:42:00Z,no,laying,1,0,no,no,yes,no,0,0,NA
a114,612.0,1899-12-31T14:04:00Z,no,Do Not Monitor (note),0,0,no,no,no,yes,0,0,"nest destroyed, eggs gone"
a115,610.0,1899-12-31T17:55:00Z,no,laying,3,0,no,no,no,no,0,0,NA
a115,611.0,1899-12-31T09:59:00Z,no,Do Not Monitor (note),0,0,no,no,no,yes,0,0,"nest disheveled, all eggs gone"
a116,610.0,1899-12-31T18:03:00Z,yes,ready to Lay,0,0,no,no,no,no,0,0,NA
a116,611.0,1899-12-31T09:34:00Z,no,Building,0,0,no,no,no,no,0,0,nest sides still need more filling in (building not done)
a116,612.0,1899-12-31T13:59:00Z,no,ready to Lay,0,0,no,no,no,no,0,0,NA
a116,613.0,1899-12-31T11:33:00Z,no,ready to lay,0,0,no,no,no,no,0,0,NA
a116,615.0,1899-12-31T10:24:00Z,yes,laying,1,0,no,no,yes,no,0,0,NA
a116,616.0,1899-12-31T15:52:00Z,yes,laying,2,0,no,no,no,no,0,0,NA
a116,617.0,1899-12-31T09:50:00Z,yes,laying,3,0,no,no,no,no,0,0,NA
a116,618.0,1899-12-31T11:36:00Z,no,incubating,3,0,no,no,no,no,0,0,NA
a116,619.0,1899-12-31T10:12:00Z,no,do not Monitor (note),0,0,no,no,no,no,0,0,tree fell on nest
a117,611.0,1899-12-31T08:55:00Z,yes,Building,0,0,no,no,no,no,0,0,NA
