asv_name,sample,reads,nest_id,control_type
ASV_5835,x0035_mul1806a1_24,0,NA,cloacal
ASV_5835,x0041_mul1806a1_22,0,NA,cloacal
ASV_5835,x0045_mul1806a1_23,0,NA,cloacal
ASV_5835,x0064_mul1806a1_21,0,NA,cloacal
ASV_5835,a122_mul1806a1_10,1,a122,NA
ASV_5835,a43_mul1806a1_13,0,a43,NA
ASV_5835,a56_mul1806a1_11,0,a56,NA
ASV_5835,a83_mul1806a1_12,0,a83,NA
ASV_5835,a91_mul1806a1_8,0,a91,NA
ASV_5835,a98_mul1806a1_9,0,a98,NA
ASV_5835,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_5835,e105_mul1806a1_14,17,e105,NA
ASV_5835,e110_mul1806a1_17,0,e110,NA
ASV_5835,e117_mul1806a1_16,0,e117,NA
ASV_5835,e17_mul1806a1_18,0,e17,NA
ASV_5835,e25_mul1806a1_15,0,e25,NA
ASV_5835,e53_mul1806a1_20,0,e53,NA
ASV_5835,e62_mul1806a1_19,0,e62,NA
ASV_5835,j16_mul1806a1_5,5,j16,NA
ASV_5835,j18_mul1806a1_2,0,j18,NA
ASV_5835,j21_mul1806a1_4,2,j21,NA
ASV_5835,j23_mul1806a1_3,0,j23,NA
ASV_5835,j27_mul1806a1_6,0,j27,NA
ASV_5835,j46_mul1806a1_7,2,j46,NA
ASV_5835,j64_mul1806a1_1,15,j64,NA
ASV_5835,water1_mul1806a1_26,0,NA,water
ASV_5835,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_5835,water4_cou1805a2_28,0,NA,water
ASV_6810,x0035_mul1806a1_24,0,NA,cloacal
ASV_6810,x0041_mul1806a1_22,0,NA,cloacal
ASV_6810,x0045_mul1806a1_23,0,NA,cloacal
ASV_6810,x0064_mul1806a1_21,0,NA,cloacal
ASV_6810,a122_mul1806a1_10,0,a122,NA
ASV_6810,a43_mul1806a1_13,0,a43,NA
ASV_6810,a56_mul1806a1_11,0,a56,NA
ASV_6810,a83_mul1806a1_12,0,a83,NA
ASV_6810,a91_mul1806a1_8,37,a91,NA
ASV_6810,a98_mul1806a1_9,0,a98,NA
ASV_6810,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_6810,e105_mul1806a1_14,0,e105,NA
ASV_6810,e110_mul1806a1_17,11,e110,NA
ASV_6810,e117_mul1806a1_16,0,e117,NA
ASV_6810,e17_mul1806a1_18,0,e17,NA
ASV_6810,e25_mul1806a1_15,0,e25,NA
ASV_6810,e53_mul1806a1_20,0,e53,NA
ASV_6810,e62_mul1806a1_19,17,e62,NA
ASV_6810,j16_mul1806a1_5,10,j16,NA
ASV_6810,j18_mul1806a1_2,0,j18,NA
ASV_6810,j21_mul1806a1_4,0,j21,NA
ASV_6810,j23_mul1806a1_3,0,j23,NA
ASV_6810,j27_mul1806a1_6,0,j27,NA
ASV_6810,j46_mul1806a1_7,0,j46,NA
ASV_6810,j64_mul1806a1_1,0,j64,NA
ASV_6810,water1_mul1806a1_26,0,NA,water
ASV_6810,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_6810,water4_cou1805a2_28,0,NA,water
ASV_7040,x0035_mul1806a1_24,0,NA,cloacal
ASV_7040,x0041_mul1806a1_22,0,NA,cloacal
ASV_7040,x0045_mul1806a1_23,0,NA,cloacal
ASV_7040,x0064_mul1806a1_21,0,NA,cloacal
ASV_7040,a122_mul1806a1_10,27,a122,NA
ASV_7040,a43_mul1806a1_13,0,a43,NA
ASV_7040,a56_mul1806a1_11,0,a56,NA
ASV_7040,a83_mul1806a1_12,0,a83,NA
ASV_7040,a91_mul1806a1_8,0,a91,NA
ASV_7040,a98_mul1806a1_9,0,a98,NA
ASV_7040,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7040,e105_mul1806a1_14,0,e105,NA
ASV_7040,e110_mul1806a1_17,0,e110,NA
ASV_7040,e117_mul1806a1_16,0,e117,NA
ASV_7040,e17_mul1806a1_18,0,e17,NA
ASV_7040,e25_mul1806a1_15,8,e25,NA
ASV_7040,e53_mul1806a1_20,0,e53,NA
ASV_7040,e62_mul1806a1_19,0,e62,NA
ASV_7040,j16_mul1806a1_5,0,j16,NA
ASV_7040,j18_mul1806a1_2,0,j18,NA
ASV_7040,j21_mul1806a1_4,5,j21,NA
ASV_7040,j23_mul1806a1_3,0,j23,NA
ASV_7040,j27_mul1806a1_6,0,j27,NA
ASV_7040,j46_mul1806a1_7,23,j46,NA
ASV_7040,j64_mul1806a1_1,25,j64,NA
ASV_7040,water1_mul1806a1_26,0,NA,water
ASV_7040,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7040,water4_cou1805a2_28,0,NA,water
ASV_7097,x0035_mul1806a1_24,17,NA,cloacal
ASV_7097,x0041_mul1806a1_22,0,NA,cloacal
ASV_7097,x0045_mul1806a1_23,0,NA,cloacal
ASV_7097,x0064_mul1806a1_21,0,NA,cloacal
ASV_7097,a122_mul1806a1_10,0,a122,NA
ASV_7097,a43_mul1806a1_13,0,a43,NA
ASV_7097,a56_mul1806a1_11,5,a56,NA
ASV_7097,a83_mul1806a1_12,1,a83,NA
ASV_7097,a91_mul1806a1_8,0,a91,NA
ASV_7097,a98_mul1806a1_9,0,a98,NA
ASV_7097,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7097,e105_mul1806a1_14,32,e105,NA
ASV_7097,e110_mul1806a1_17,32,e110,NA
ASV_7097,e117_mul1806a1_16,5,e117,NA
ASV_7097,e17_mul1806a1_18,0,e17,NA
